title,published,source,country,summary,url
Trump pleads not guilty to 34 felony counts,,CNN,USA,N/A,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html
Haberman reveals why Trump attacked judge and his family in speech,2023-04-05 13:30:09+00:00,CNN,USA,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn
What to know about the Trump indictment on the eve of his court appearance,2023-04-05 22:50:06+00:00,CNN,USA,N/A,https://www.cnn.com/collections/intl-trump-040223/
READ: Trump indictment related to hush money payment,,CNN,USA,N/A,https://cnn.it/411KYN7
Russian authorities detain suspect over St. Petersburg cafe blast,,CNN,USA,N/A,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html
Video shows moment of deadly explosion at cafe in Russia,2023-04-04 01:08:44+00:00,CNN,USA,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn
"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",2023-04-03 13:58:58+00:00,CNN,USA,N/A,https://www.cnn.com/collections/intl-ukraine-030423/
Suspected Chinese spy balloon was able to transmit information back to Beijing,2023-04-03 13:38:22+00:00,CNN,USA,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html
Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,2023-04-04 07:49:53+00:00,CNN,USA,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html
"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line",2023-04-03 12:13:24+00:00,CNN,USA,"A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn
The four astronauts NASA picked for the first crewed moon mission in 50 years,2023-04-04 11:44:30+00:00,CNN,USA,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html
French minister under fire for Playboy magazine cover,2023-04-03 11:54:59+00:00,CNN,USA,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html
Why did Finland's PM lose? Reporter explains the key issue voters cared about,2023-04-03 10:06:11+00:00,CNN,USA,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn
Britain's pound is beating every other major currency this year,2023-04-04 18:49:31+00:00,CNN,USA,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html
Finland's Prime Minister Sanna Marin concedes election,2023-04-03 10:24:55+00:00,CNN,USA,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html
Hundreds of millions at risk from Chinese shopping app malware,,CNN,USA,N/A,https://cnn.it/40OSomK
The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,2023-04-06 20:09:14+00:00,CNN,USA,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",https://www.cnn.com/style/article/beauty-skincare-climate/index.html
A new approach to a Covid-19 nasal vaccine shows early promise,2023-04-03 19:04:07+00:00,CNN,USA,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html
Video shows moment man throws yogurt on two women in Iran,2023-04-03 10:17:00+00:00,CNN,USA,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn
"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating",2023-04-03 17:22:51+00:00,CNN,USA,"In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html
Erdogan's political fate may be determined by Turkey's Kurds,2023-04-03 14:54:00+00:00,CNN,USA,"Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.",https://www.cnn.com/2023/04/03/middleeast/kurdish-kingmaker-turkish-elections-mime-intl/index.html
Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu,2023-04-03 20:48:03+00:00,CNN,USA,"Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.",https://www.cnn.com/2023/04/03/investing/dogecoin-elon-musk-twitter/index.html
Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,2023-04-04 03:17:15+00:00,CNN,USA,"China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.",https://www.cnn.com/2023/04/03/tech/china-micron-probe-us-chip-war-intl-hnk/index.html
Man rides out tornado inside van. See the footage,2023-04-02 11:07:02+00:00,CNN,USA,"Cody Coombes recounts riding out a tornado in Little Rock, Arkansas, inside his pest control van. The National Weather Service reported that an EF-3 tornado had roared through Pulaski and Lonoke counties with estimated peak winds of 165 mph, killing one person in North Little Rock and four people in Wynne.",https://www.cnn.com/videos/weather/2023/04/02/little-rock-arkansas-tornado-man-inside-van-cnntmw-vpx.cnn
"China Renaissance suspends trading, delays results after founder's disappearance",2023-04-03 11:42:19+00:00,CNN,USA,"China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.",https://www.cnn.com/2023/04/03/investing/china-renaissance-delays-results-missing-ceo-intl-hnk/index.html
HSBC's top execs face tense shareholders calling for a breakup,2023-04-03 12:31:48+00:00,CNN,USA,"HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.",https://www.cnn.com/2023/04/03/business/hsbc-spin-off-hk-shareholder-meeting-intl-hnk/index.html
Lawmaker speaks out about his struggle with depression,2023-04-02 23:11:47+00:00,CNN,USA,Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,https://www.cnn.com/videos/politics/2023/04/02/john-fetterman-depression-downward-spiral-acostanr-sot-vpx.cnn
CEOs are tired of being held responsible for gun regulation,2023-04-03 11:19:35+00:00,CNN,USA,"Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.",https://www.cnn.com/2023/04/03/investing/premarket-stocks-trading/index.html
What pet cemeteries reveal about being human,2023-04-03 15:03:47+00:00,CNN,USA,Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,https://www.cnn.com/2023/04/03/opinions/pet-cemeteries-burying-animals-history-tourigny/index.html
Scientists film deepest ever fish on seabed off Japan,2023-04-18 15:32:03+00:00,CNN,USA,"Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.",https://www.cnn.com/2023/04/03/asia/deepest-fish-filmed-off-japan-scn-intl-hnk/index.html
What OPEC's surprise oil cut means for gas prices,2023-04-04 01:48:26+00:00,CNN,USA,OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,https://www.cnn.com/2023/04/03/energy/gas-prices-opec/index.html
Palestinian taxi driver recounts surviving attack by right-wing protesters,2023-03-31 15:50:32+00:00,CNN,USA,A Palestinian taxi driver describes surviving a violent attack by a right-wing mob in Jerusalem earlier this week as Israel continues to see protests against Prime Minister Benjamin Netanyahu's judicial overhaul spread. CNN's Nic Robertson reports.,https://www.cnn.com/videos/world/2023/03/31/israel-protests-rise-taxi-driver-attacked-robertson-pkg-intl-vpx.cnn
Giving Marjorie Taylor Greene a platform isn't good for America,2023-04-03 12:26:59+00:00,CNN,USA,"Last year, GOP Rep. Marjorie Taylor Greene of Georgia spoke at a white nationalist event organized by Holocaust denier Nick Fuentes that caused Republican leaders to denounce her.",https://www.cnn.com/2023/04/03/opinions/60-minutes-marjorie-taylor-greene-interview-obeidallah/index.html
These are the animals people most want to see photographed,2023-04-04 10:38:46+00:00,CNN,USA,"Originally a term used by trophy hunters in Africa, the ""Big Five"" described the animals most challenging to shoot and kill: the lion, elephant, leopard, rhino, and buffalo. Nowadays, it is more loosely used to refer to some of Africa's largest and most iconic animals.",https://www.cnn.com/travel/article/new-big-5-wildlife-photography-book-c2e-scn-spc-intl/index.html
"Syrian refugee elected mayor of German town, years after fleeing war",2023-04-04 19:41:56+00:00,CNN,USA,A Syrian who arrived in Germany as a refugee in 2015 has won a mayoral election in the southwestern German state of Baden-Württemberg.,https://www.cnn.com/2023/04/04/europe/germany-mayor-syrian-refugee-intl/index.html
"Study finds slightly higher risk of autism diagnosis in areas with more lithium in drinking water, but experts say more research is needed",2023-04-03 18:22:12+00:00,CNN,USA,"A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.",https://www.cnn.com/2023/04/03/health/autism-lithium-study/index.html
"Kwame Brathwaite, photographer of 'Black is Beautiful' movement, dies at 85",2023-04-04 18:54:41+00:00,CNN,USA,"Kwame Brathwaite, the pioneering activist and photographer whose work helped define the aesthetics of the ""Black is Beautiful"" movement of the 1960s and beyond, died on April 1, aged 85.",https://www.cnn.com/style/article/kwame-brathwaite-obituary-tan/index.html
This boiled bag of offal is banned in the US. In Scotland it's a fine-dining treat,2023-04-03 12:43:16+00:00,CNN,USA,"Anthony Bourdain loved haggis. But even the late, great American chef, writer and television host recognized that Scotland's national dish, with its ""sinister sheep parts"" wrapped in a shroud of mystery and half-invented history, could be a hard sell.",https://www.cnn.com/travel/article/haggis-scotland-secrets/index.html
Musk's Twitter promised a purge of blue check marks. Instead he singled out the New York Times,2023-04-03 20:06:03+00:00,CNN,USA,"Some VIP Twitter users woke up on Saturday expecting to have lost their coveted blue verification check marks in a previously announced purge by Elon Musk. Instead, Twitter appeared to target a single account from a major publication Musk dislikes and changed the language on its site in a way that obscures why users are verified.",https://www.cnn.com/2023/04/03/tech/twitter-blue-checks/index.html
See the world's deepest fish,2023-04-12 09:01:12+00:00,CNN,USA,"Scientists captured the unknown snailfish species at a depth of more than 27,000 feet, as part of an expedition in trenches off Japan.",https://www.cnn.com/videos/travel/2023/04/03/snailfish-deepest-fish-on-camera-lon-orig-ao-cprog-scn.cnn
Emma Heming Willis shares family photos as daughter Mabel turns 11,2023-04-03 09:34:27+00:00,CNN,USA,"Bruce Willis' wife, Emma Heming Willis, has celebrated their elder daughter's birthday with a trip down memory lane.",https://www.cnn.com/2023/04/03/entertainment/emma-willis-mabel-birthday-photos-intl-scli/index.html
Some fans whistle as Lionel Messi's name is announced as Paris Saint-Germain's season hits new low,2023-04-03 11:02:06+00:00,CNN,USA,Paris Saint-Germain's miserable season went from bad to worse on Sunday as the team suffered a second straight home defeat with a 1-0 loss to Lyon.,https://www.cnn.com/2023/04/03/football/lionel-messi-psg-whistles-fans-spt-intl/index.html
Chelsea searches for new manager as Premier League breaks record for most sackings in a single season,2023-04-03 14:46:53+00:00,CNN,USA,"It was just six months ago that Graham Potter was deemed the man to usher in a fresh, exciting era at Chelsea.",https://www.cnn.com/2023/04/03/football/chelsea-graham-potter-manager-premier-league-spt-intl/index.html
See 'Star Wars' legend react to Acosta's Darth Vader impression,2023-04-02 01:18:16+00:00,CNN,USA,"Actor Mark Hamill joins CNN's Jim Acosta to discuss his thoughts about a potential spinoff series based around his legendary ""Star Wars"" character Luke Skywalker.",https://www.cnn.com/videos/media/2023/04/02/mark-hamill-star-wars-jim-acosta-skywalker-cprog-acostanr-vpx.cnn
Angel Reese defends gesture directed towards Caitlin Clark after LSU national title win; calls out double standard after being 'unapologetically' her,2023-04-03 18:34:35+00:00,CNN,USA,"LSU star Angel Reese defended the gesture she aimed at Iowa Hawkeyes' Caitlin Clark near the end of the Tigers' first NCAA women's basketball national championship victory on Sunday, saying ""I don't take disrespect lightly.""",https://www.cnn.com/2023/04/03/sport/angel-reese-gesture-caitlin-clark-lsu-iowa-spt-intl/index.html
